,row,item_id,item,passage,condition,first_mention,recent_mention,mentions_start,mentions_end,mentions_ratio,knowledge_cue,start,end,passage_reversed,start_reversed,end_reversed,attn_check_1_q,attn_check_1_a,attn_check_2_q,attn_check_2_a,passage_hr,critical_q,critical_a,log_odds,token_c1,end_logprob,start_logprob,token_c2,lp_pred,pred_t1,pred_t2,pred_lp1,pred_lp2
0,0,7_fb_1_s_e_ex,7,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",False Belief,Start,End,2,2,1,Explicit,garage,fridge," .]KSAM[ eht ni si eniw eht skniht divaD .eniw eht tuo tup ot stnaw dna emoh snruter divaD .egdirf eht otni dna egarag eht fo tuo eniw eht sevom ehs os ,delooc tseb eb dluow eniw eht sediced atraM ,enog si divaD elihW .skcans emos teg ot tuo seog divaD ,nehT .egdirf eht morf knird a sbarg dna egarag eht ni eniw eht serots divaD ,emoh teg yeht nehW .ytrap eht rof eniw emos teg ot tuo og atraM dna divaD",egarag,egdirf,Where did David put the wine at the beginning of the story?,garage,Where was the wine at the end of the story?,fridge,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine.",David thinks the wine is in the,garage,0.14840704999999998,garage,-0.8019392,-0.65353215,fridge,garage,garage,and,-0.65353215,-0.010547538
1,1,7_fb_1_s_e_im,7,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",False Belief,Start,End,2,2,1,Implicit,garage,fridge," .]KSAM[ eht morf eniw eht teg ot seog divaD .eniw eht tuo tup ot stnaw dna emoh snruter divaD .egdirf eht otni dna egarag eht fo tuo eniw eht sevom ehs os ,delooc tseb eb dluow eniw eht sediced atraM ,enog si divaD elihW .skcans emos teg ot tuo seog divaD ,nehT .egdirf eht morf knird a sbarg dna egarag eht ni eniw eht serots divaD ,emoh teg yeht nehW .ytrap eht rof eniw emos teg ot tuo og atraM dna divaD",egarag,egdirf,Where did David put the wine at the beginning of the story?,garage,Where was the wine at the end of the story?,fridge,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine.",David goes to get the wine from the,garage,-4.289667714,garage,-0.017907286,-4.307575,fridge,fridge,fridge,and,-0.017723562,-0.047732614
2,2,7_tb_1_s_e_ex,7,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David thinks the wine is in the [MASK].",True Belief,Start,End,2,2,1,Explicit,garage,fridge," .]KSAM[ eht ni si eniw eht skniht divaD .eniw eht tuo tup ot stnaw eh ,emoh snruter eh nehW .skcans emos teg ot tuo seog divaD ,nehT .egdirf eht otni dna egarag eht fo tuo eniw eht evom atraM sehctaw divaD .delooc tseb eb dluow eniw eht sediced atraM ,revewoH .egdirf eht morf knird a sbarg dna egarag eht ni eniw eht serots divaD ,emoh teg yeht nehW .ytrap eht rof eniw emos teg ot tuo og atraM dna divaD",egarag,egdirf,Where did David put the wine at the beginning of the story?,garage,Where was the wine at the end of the story?,fridge,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine.",David thinks the wine is in the,fridge,-3.694385456,garage,-0.069620244,-3.7640057,fridge,fridge,fridge,and,-0.07102271,-0.33524302
3,3,7_tb_1_s_e_im,7,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David goes to get the wine from the [MASK].",True Belief,Start,End,2,2,1,Implicit,garage,fridge," .]KSAM[ eht morf eniw eht teg ot seog divaD .eniw eht tuo tup ot stnaw eh ,emoh snruter eh nehW .skcans emos teg ot tuo seog divaD ,nehT .egdirf eht otni dna egarag eht fo tuo eniw eht evom atraM sehctaw divaD .delooc tseb eb dluow eniw eht sediced atraM ,revewoH .egdirf eht morf knird a sbarg dna egarag eht ni eniw eht serots divaD ,emoh teg yeht nehW .ytrap eht rof eniw emos teg ot tuo og atraM dna divaD",egarag,egdirf,Where did David put the wine at the beginning of the story?,garage,Where was the wine at the end of the story?,fridge,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine.",David goes to get the wine from the,fridge,0.03960986,garage,-0.7246216,-0.68501174,fridge,garage,garage,",",-0.60450155,-0.0050350986
4,4,7_fb_1_s_s_ex,7,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",False Belief,Start,Start,2,2,1,Explicit,garage,fridge," .]KSAM[ eht ni si eniw eht skniht divaD .eniw eht tuo tup ot stnaw dna emoh snruter divaD .egarag eht morf egdirf eht otni eniw eht sevom ehs os ,delooc tseb eb dluow eniw eht sediced atraM ,enog si divaD elihW .skcans emos teg ot tuo seog divaD ,nehT .egdirf eht morf knird a sbarg dna egarag eht ni eniw eht serots divaD ,emoh teg yeht nehW .ytrap eht rof eniw emos teg ot tuo og atraM dna divaD",egarag,egdirf,Where did David put the wine at the beginning of the story?,garage,Where was the wine at the end of the story?,fridge,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine.",David thinks the wine is in the,garage,0.4550809,garage,-0.9781969,-0.523116,fridge,garage,garage,and,-0.5639812,-0.00815353
5,5,7_fb_1_s_s_im,7,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",False Belief,Start,Start,2,2,1,Implicit,garage,fridge," .]KSAM[ eht morf eniw eht teg ot seog divaD .eniw eht tuo tup ot stnaw dna emoh snruter divaD .egarag eht morf egdirf eht otni eniw eht sevom ehs os ,delooc tseb eb dluow eniw eht sediced atraM ,enog si divaD elihW .skcans emos teg ot tuo seog divaD ,nehT .egdirf eht morf knird a sbarg dna egarag eht ni eniw eht serots divaD ,emoh teg yeht nehW .ytrap eht rof eniw emos teg ot tuo og atraM dna divaD",egarag,egdirf,Where did David put the wine at the beginning of the story?,garage,Where was the wine at the end of the story?,fridge,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine.",David goes to get the wine from the,garage,-5.892084283,garage,-0.007588717,-5.899673,fridge,fridge,fridge,and,-0.007759957,-0.084156714
6,6,7_tb_1_s_s_ex,7,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David thinks the wine is in the [MASK].",True Belief,Start,Start,2,2,1,Explicit,garage,fridge," .]KSAM[ eht ni si eniw eht skniht divaD .eniw eht tuo tup ot stnaw eh ,emoh snruter eh nehW .skcans emos teg ot tuo seog divaD ,nehT .egarag eht morf egdirf eht otni eniw eht evom atraM sehctaw divaD .delooc tseb eb dluow eniw eht sediced atraM ,revewoH .egdirf eht morf knird a sbarg dna egarag eht ni eniw eht serots divaD ,emoh teg yeht nehW .ytrap eht rof eniw emos teg ot tuo og atraM dna divaD",egarag,egdirf,Where did David put the wine at the beginning of the story?,garage,Where was the wine at the end of the story?,fridge,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine.",David thinks the wine is in the,fridge,-4.6005085900000005,garage,-0.02855981,-4.6290684,fridge,fridge,fridge,and,-0.029580634,-0.16358016
7,7,7_tb_1_s_s_im,7,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David goes to get the wine from the [MASK].",True Belief,Start,Start,2,2,1,Implicit,garage,fridge," .]KSAM[ eht morf eniw eht teg ot seog divaD .eniw eht tuo tup ot stnaw eh ,emoh snruter eh nehW .skcans emos teg ot tuo seog divaD ,nehT .egarag eht morf egdirf eht otni eniw eht evom atraM sehctaw divaD .delooc tseb eb dluow eniw eht sediced atraM ,revewoH .egdirf eht morf knird a sbarg dna egarag eht ni eniw eht serots divaD ,emoh teg yeht nehW .ytrap eht rof eniw emos teg ot tuo og atraM dna divaD",egarag,egdirf,Where did David put the wine at the beginning of the story?,garage,Where was the wine at the end of the story?,fridge,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine.",David goes to get the wine from the,fridge,-0.6076689,garage,-0.4573596,-1.0650285,fridge,fridge,fridge,",",-0.4444054,-0.41702217
8,8,7_fb_1_e_e_ex,7,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",False Belief,End,End,2,2,1,Explicit,garage,fridge," .]KSAM[ eht ni si eniw eht skniht divaD .eniw eht tuo tup ot stnaw dna emoh snruter divaD .egdirf eht otni dna egarag eht fo tuo eniw eht sevom ehs os ,delooc tseb eb dluow eniw eht sediced atraM ,enog si divaD elihW .skcans emos teg ot tuo seog divaD ,nehT .egarag eht ni eniw eht serots dna egdirf eht morf knird a sbarg divaD ,emoh teg yeht nehW .ytrap eht rof eniw emos teg ot tuo og atraM dna divaD",egarag,egdirf,Where did David put the wine at the beginning of the story?,garage,Where was the wine at the end of the story?,fridge,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine.",David thinks the wine is in the,garage,1.65147871,garage,-1.8353149,-0.18383619,fridge,garage,garage,and,-0.18383619,-0.05228944
9,9,7_fb_1_e_e_im,7,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",False Belief,End,End,2,2,1,Implicit,garage,fridge," .]KSAM[ eht morf eniw eht teg ot seog divaD .eniw eht tuo tup ot stnaw dna emoh snruter divaD .egdirf eht otni dna egarag eht fo tuo eniw eht sevom ehs os ,delooc tseb eb dluow eniw eht sediced atraM ,enog si divaD elihW .skcans emos teg ot tuo seog divaD ,nehT .egarag eht ni eniw eht serots dna egdirf eht morf knird a sbarg divaD ,emoh teg yeht nehW .ytrap eht rof eniw emos teg ot tuo og atraM dna divaD",egarag,egdirf,Where did David put the wine at the beginning of the story?,garage,Where was the wine at the end of the story?,fridge,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine.",David goes to get the wine from the,garage,-3.39743977,garage,-0.04007123,-3.437511,fridge,fridge,fridge,and,-0.03837083,-0.0141454395
10,10,7_tb_1_e_e_ex,7,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David thinks the wine is in the [MASK].",True Belief,End,End,2,2,1,Explicit,garage,fridge," .]KSAM[ eht ni si eniw eht skniht divaD .eniw eht tuo tup ot stnaw eh ,emoh snruter eh nehW .skcans emos teg ot tuo seog divaD ,nehT .egdirf eht otni dna egarag eht fo tuo eniw eht evom atraM sehctaw divaD .delooc tseb eb dluow eniw eht sediced atraM ,revewoH .egarag eht ni eniw eht serots dna egdirf eht morf knird a sbarg divaD ,emoh teg yeht nehW .ytrap eht rof eniw emos teg ot tuo og atraM dna divaD",egarag,egdirf,Where did David put the wine at the beginning of the story?,garage,Where was the wine at the end of the story?,fridge,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine.",David thinks the wine is in the,fridge,0.8634463400000001,garage,-1.2543755,-0.39092916,fridge,garage,garage,and,-0.39432183,-0.07200437
11,11,7_tb_1_e_e_im,7,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David goes to get the wine from the [MASK].",True Belief,End,End,2,2,1,Implicit,garage,fridge," .]KSAM[ eht morf eniw eht teg ot seog divaD .eniw eht tuo tup ot stnaw eh ,emoh snruter eh nehW .skcans emos teg ot tuo seog divaD ,nehT .egdirf eht otni dna egarag eht fo tuo eniw eht evom atraM sehctaw divaD .delooc tseb eb dluow eniw eht sediced atraM ,revewoH .egarag eht ni eniw eht serots dna egdirf eht morf knird a sbarg divaD ,emoh teg yeht nehW .ytrap eht rof eniw emos teg ot tuo og atraM dna divaD",egarag,egdirf,Where did David put the wine at the beginning of the story?,garage,Where was the wine at the end of the story?,fridge,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine.",David goes to get the wine from the,fridge,1.4724636000000002,garage,-1.686816,-0.2143524,fridge,garage,garage,",",-0.23568861,-0.0007116483
12,12,7_fb_1_e_s_ex,7,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",False Belief,End,Start,2,2,1,Explicit,garage,fridge," .]KSAM[ eht ni si eniw eht skniht divaD .eniw eht tuo tup ot stnaw dna emoh snruter divaD .egarag eht morf egdirf eht otni eniw eht sevom ehs os ,delooc tseb eb dluow eniw eht sediced atraM ,enog si divaD elihW .skcans emos teg ot tuo seog divaD ,nehT .egarag eht ni eniw eht serots dna egdirf eht morf knird a sbarg divaD ,emoh teg yeht nehW .ytrap eht rof eniw emos teg ot tuo og atraM dna divaD",egarag,egdirf,Where did David put the wine at the beginning of the story?,garage,Where was the wine at the end of the story?,fridge,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine.",David thinks the wine is in the,garage,2.62509814,garage,-2.7016964,-0.07659826,fridge,garage,garage,and,-0.07268286,-0.21296763
13,13,7_fb_1_e_s_im,7,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",False Belief,End,Start,2,2,1,Implicit,garage,fridge," .]KSAM[ eht morf eniw eht teg ot seog divaD .eniw eht tuo tup ot stnaw dna emoh snruter divaD .egarag eht morf egdirf eht otni eniw eht sevom ehs os ,delooc tseb eb dluow eniw eht sediced atraM ,enog si divaD elihW .skcans emos teg ot tuo seog divaD ,nehT .egarag eht ni eniw eht serots dna egdirf eht morf knird a sbarg divaD ,emoh teg yeht nehW .ytrap eht rof eniw emos teg ot tuo og atraM dna divaD",egarag,egdirf,Where did David put the wine at the beginning of the story?,garage,Where was the wine at the end of the story?,fridge,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine.",David goes to get the wine from the,garage,-2.772219526,garage,-0.075985774,-2.8482053,fridge,fridge,fridge,and,-0.07896661,-0.017316544
