,row,item_id,item,passage,condition,first_mention,recent_mention,mentions_start,mentions_end,mentions_ratio,knowledge_cue,start,end,passage_reversed,start_reversed,end_reversed,attn_check_1_q,attn_check_1_a,attn_check_2_q,attn_check_2_a,passage_hr,critical_q,critical_a,log_odds,token_c1,end_logprob,start_logprob,token_c2,lp_pred,pred_t1,pred_t2,pred_lp1,pred_lp2
0,0,7_fb_1_s_e_ex,7,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",False Belief,Start,End,2,2,1,Explicit,garage,fridge," .]KSAM[ eht ni si eniw eht skniht divaD .eniw eht tuo tup ot stnaw dna emoh snruter divaD .egdirf eht otni dna egarag eht fo tuo eniw eht sevom ehs os ,delooc tseb eb dluow eniw eht sediced atraM ,enog si divaD elihW .skcans emos teg ot tuo seog divaD ,nehT .egdirf eht morf knird a sbarg dna egarag eht ni eniw eht serots divaD ,emoh teg yeht nehW .ytrap eht rof eniw emos teg ot tuo og atraM dna divaD",egarag,egdirf,Where did David put the wine at the beginning of the story?,garage,Where was the wine at the end of the story?,fridge,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine.",David thinks the wine is in the,garage,-8.3203364686,garage,-0.0057045314,-8.326041,fridge,fridge,fridge,and,-0.0057045314,-0.2497467
1,1,7_fb_1_s_e_im,7,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",False Belief,Start,End,2,2,1,Implicit,garage,fridge," .]KSAM[ eht morf eniw eht teg ot seog divaD .eniw eht tuo tup ot stnaw dna emoh snruter divaD .egdirf eht otni dna egarag eht fo tuo eniw eht sevom ehs os ,delooc tseb eb dluow eniw eht sediced atraM ,enog si divaD elihW .skcans emos teg ot tuo seog divaD ,nehT .egdirf eht morf knird a sbarg dna egarag eht ni eniw eht serots divaD ,emoh teg yeht nehW .ytrap eht rof eniw emos teg ot tuo og atraM dna divaD",egarag,egdirf,Where did David put the wine at the beginning of the story?,garage,Where was the wine at the end of the story?,fridge,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine.",David goes to get the wine from the,garage,-9.6257437276,garage,-0.0028472724,-9.628591,fridge,fridge,fridge,and,-0.0028374093,-0.4328343
2,2,7_tb_1_s_e_ex,7,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David thinks the wine is in the [MASK].",True Belief,Start,End,2,2,1,Explicit,garage,fridge," .]KSAM[ eht ni si eniw eht skniht divaD .eniw eht tuo tup ot stnaw eh ,emoh snruter eh nehW .skcans emos teg ot tuo seog divaD ,nehT .egdirf eht otni dna egarag eht fo tuo eniw eht evom atraM sehctaw divaD .delooc tseb eb dluow eniw eht sediced atraM ,revewoH .egdirf eht morf knird a sbarg dna egarag eht ni eniw eht serots divaD ,emoh teg yeht nehW .ytrap eht rof eniw emos teg ot tuo og atraM dna divaD",egarag,egdirf,Where did David put the wine at the beginning of the story?,garage,Where was the wine at the end of the story?,fridge,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine.",David thinks the wine is in the,fridge,-5.651078136000001,garage,-0.052233864,-5.703312,fridge,fridge,fridge,and,-0.052233294,-0.54519653
3,3,7_tb_1_s_e_im,7,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David goes to get the wine from the [MASK].",True Belief,Start,End,2,2,1,Implicit,garage,fridge," .]KSAM[ eht morf eniw eht teg ot seog divaD .eniw eht tuo tup ot stnaw eh ,emoh snruter eh nehW .skcans emos teg ot tuo seog divaD ,nehT .egdirf eht otni dna egarag eht fo tuo eniw eht evom atraM sehctaw divaD .delooc tseb eb dluow eniw eht sediced atraM ,revewoH .egdirf eht morf knird a sbarg dna egarag eht ni eniw eht serots divaD ,emoh teg yeht nehW .ytrap eht rof eniw emos teg ot tuo og atraM dna divaD",egarag,egdirf,Where did David put the wine at the beginning of the story?,garage,Where was the wine at the end of the story?,fridge,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine out of the garage and into the fridge. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine.",David goes to get the wine from the,fridge,-4.054547463,garage,-0.032974537,-4.087522,fridge,fridge,fridge,",",-0.03357053,-0.42105907
4,4,7_fb_1_s_s_ex,7,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",False Belief,Start,Start,2,2,1,Explicit,garage,fridge," .]KSAM[ eht ni si eniw eht skniht divaD .eniw eht tuo tup ot stnaw dna emoh snruter divaD .egarag eht morf egdirf eht otni eniw eht sevom ehs os ,delooc tseb eb dluow eniw eht sediced atraM ,enog si divaD elihW .skcans emos teg ot tuo seog divaD ,nehT .egdirf eht morf knird a sbarg dna egarag eht ni eniw eht serots divaD ,emoh teg yeht nehW .ytrap eht rof eniw emos teg ot tuo og atraM dna divaD",egarag,egdirf,Where did David put the wine at the beginning of the story?,garage,Where was the wine at the end of the story?,fridge,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine.",David thinks the wine is in the,garage,-7.805309548,garage,-0.008074452,-7.813384,fridge,fridge,fridge,and,-0.0080095595,-0.28907993
5,5,7_fb_1_s_s_im,7,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",False Belief,Start,Start,2,2,1,Implicit,garage,fridge," .]KSAM[ eht morf eniw eht teg ot seog divaD .eniw eht tuo tup ot stnaw dna emoh snruter divaD .egarag eht morf egdirf eht otni eniw eht sevom ehs os ,delooc tseb eb dluow eniw eht sediced atraM ,enog si divaD elihW .skcans emos teg ot tuo seog divaD ,nehT .egdirf eht morf knird a sbarg dna egarag eht ni eniw eht serots divaD ,emoh teg yeht nehW .ytrap eht rof eniw emos teg ot tuo og atraM dna divaD",egarag,egdirf,Where did David put the wine at the beginning of the story?,garage,Where was the wine at the end of the story?,fridge,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine into the fridge from the garage. David returns home and wants to put out the wine.",David goes to get the wine from the,garage,-6.522686451,garage,-0.005968149,-6.5286546,fridge,fridge,fridge,and,-0.0058815046,-0.45613617
6,6,7_tb_1_s_s_ex,7,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David thinks the wine is in the [MASK].",True Belief,Start,Start,2,2,1,Explicit,garage,fridge," .]KSAM[ eht ni si eniw eht skniht divaD .eniw eht tuo tup ot stnaw eh ,emoh snruter eh nehW .skcans emos teg ot tuo seog divaD ,nehT .egarag eht morf egdirf eht otni eniw eht evom atraM sehctaw divaD .delooc tseb eb dluow eniw eht sediced atraM ,revewoH .egdirf eht morf knird a sbarg dna egarag eht ni eniw eht serots divaD ,emoh teg yeht nehW .ytrap eht rof eniw emos teg ot tuo og atraM dna divaD",egarag,egdirf,Where did David put the wine at the beginning of the story?,garage,Where was the wine at the end of the story?,fridge,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine.",David thinks the wine is in the,fridge,-5.68637323,garage,-0.05995577,-5.746329,fridge,fridge,fridge,and,-0.05999171,-0.68791485
7,7,7_tb_1_s_s_im,7,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine. David goes to get the wine from the [MASK].",True Belief,Start,Start,2,2,1,Implicit,garage,fridge," .]KSAM[ eht morf eniw eht teg ot seog divaD .eniw eht tuo tup ot stnaw eh ,emoh snruter eh nehW .skcans emos teg ot tuo seog divaD ,nehT .egarag eht morf egdirf eht otni eniw eht evom atraM sehctaw divaD .delooc tseb eb dluow eniw eht sediced atraM ,revewoH .egdirf eht morf knird a sbarg dna egarag eht ni eniw eht serots divaD ,emoh teg yeht nehW .ytrap eht rof eniw emos teg ot tuo og atraM dna divaD",egarag,egdirf,Where did David put the wine at the beginning of the story?,garage,Where was the wine at the end of the story?,fridge,"David and Marta go out to get some wine for the party. When they get home, David stores the wine in the garage and grabs a drink from the fridge. However, Marta decides the wine would be best cooled. David watches Marta move the wine into the fridge from the garage. Then, David goes out to get some snacks. When he returns home, he wants to put out the wine.",David goes to get the wine from the,fridge,-3.61656855,garage,-0.04148865,-3.6580572,fridge,fridge,fridge,",",-0.04109973,-0.36053705
8,8,7_fb_1_e_e_ex,7,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David thinks the wine is in the [MASK].",False Belief,End,End,2,2,1,Explicit,garage,fridge," .]KSAM[ eht ni si eniw eht skniht divaD .eniw eht tuo tup ot stnaw dna emoh snruter divaD .egdirf eht otni dna egarag eht fo tuo eniw eht sevom ehs os ,delooc tseb eb dluow eniw eht sediced atraM ,enog si divaD elihW .skcans emos teg ot tuo seog divaD ,nehT .egarag eht ni eniw eht serots dna egdirf eht morf knird a sbarg divaD ,emoh teg yeht nehW .ytrap eht rof eniw emos teg ot tuo og atraM dna divaD",egarag,egdirf,Where did David put the wine at the beginning of the story?,garage,Where was the wine at the end of the story?,fridge,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine.",David thinks the wine is in the,garage,-6.151793521,garage,-0.009483479,-6.161277,fridge,fridge,fridge,and,-0.009483479,-0.23168269
9,9,7_fb_1_e_e_im,7,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine. David goes to get the wine from the [MASK].",False Belief,End,End,2,2,1,Implicit,garage,fridge," .]KSAM[ eht morf eniw eht teg ot seog divaD .eniw eht tuo tup ot stnaw dna emoh snruter divaD .egdirf eht otni dna egarag eht fo tuo eniw eht sevom ehs os ,delooc tseb eb dluow eniw eht sediced atraM ,enog si divaD elihW .skcans emos teg ot tuo seog divaD ,nehT .egarag eht ni eniw eht serots dna egdirf eht morf knird a sbarg divaD ,emoh teg yeht nehW .ytrap eht rof eniw emos teg ot tuo og atraM dna divaD",egarag,egdirf,Where did David put the wine at the beginning of the story?,garage,Where was the wine at the end of the story?,fridge,"David and Marta go out to get some wine for the party. When they get home, David grabs a drink from the fridge and stores the wine in the garage. Then, David goes out to get some snacks. While David is gone, Marta decides the wine would be best cooled, so she moves the wine out of the garage and into the fridge. David returns home and wants to put out the wine.",David goes to get the wine from the,garage,-6.6351985805,garage,-0.0047111195,-6.6399097,fridge,fridge,fridge,and,-0.0046442905,-0.56147
